DEBUG | 2026-02-12 13:18:50,222 - Request for path admin, HTML file: admin.html
DEBUG | 2026-02-12 13:18:50,614 - Current user: <models.User object at 0x00000233DB128350>
DEBUG | 2026-02-12 13:18:51,598 - Request for path admin_menu, HTML file: admin_menu.html
DEBUG | 2026-02-12 13:18:52,187 - Global menu: [<models.Dish object at 0x00000233DB17FB00>, <models.Dish object at 0x00000233DB17FA10>, <models.Dish object at 0x00000233DB17F920>, <models.Dish object at 0x00000233DB17CE30>, <models.Dish object at 0x00000233DB17FB30>, <models.Dish object at 0x00000233DB17FB60>, <models.Dish object at 0x00000233DB17F890>, <models.Dish object at 0x00000233DB17FB90>, <models.Dish object at 0x00000233DB17F9B0>, <models.Dish object at 0x00000233DB17FBC0>, <models.Dish object at 0x00000233DB17FC20>, <models.Dish object at 0x00000233DB17FC50>, <models.Dish object at 0x00000233DB17F8C0>, <models.Dish object at 0x00000233DB17FEF0>, <models.Dish object at 0x00000233DB17FBF0>, <models.Dish object at 0x00000233DB17FC80>, <models.Dish object at 0x00000233DB17FCB0>, <models.Dish object at 0x00000233DB17FCE0>, <models.Dish object at 0x00000233DB17FD10>, <models.Dish object at 0x00000233DB17F9E0>, <models.Dish object at 0x00000233DB17C5C0>, <models.Dish object at 0x00000233DB17F830>, <models.Dish object at 0x00000233DB17FAA0>, <models.Dish object at 0x00000233DB17FFB0>, <models.Dish object at 0x00000233DB17FFE0>, <models.Dish object at 0x00000233DB17C230>, <models.Dish object at 0x00000233DB17C440>, <models.Dish object at 0x00000233DB17C7A0>, <models.Dish object at 0x00000233DB17F440>, <models.Dish object at 0x00000233DB17F530>, <models.Dish object at 0x00000233DB17F860>, <models.Dish object at 0x00000233DB17F770>, <models.Dish object at 0x00000233D7FFAF30>, <models.Dish object at 0x00000233DAD8D1C0>, <models.Dish object at 0x00000233DAF79130>, <models.Dish object at 0x00000233DAF788C0>, <models.Dish object at 0x00000233DAF79550>, <models.Dish object at 0x00000233DAF78E60>, <models.Dish object at 0x00000233DAF7A750>, <models.Dish object at 0x00000233DB05BFB0>, <models.Dish object at 0x00000233DB05AFC0>, <models.Dish object at 0x00000233DB05A1B0>, <models.Dish object at 0x00000233DB05A570>, <models.Dish object at 0x00000233DB05A8A0>, <models.Dish object at 0x00000233DB05BF80>, <models.Dish object at 0x00000233DB05A810>, <models.Dish object at 0x00000233DB05AFF0>, <models.Dish object at 0x00000233DB05B020>, <models.Dish object at 0x00000233DB05A930>, <models.Dish object at 0x00000233DB05A7B0>, <models.Dish object at 0x00000233DB05A9C0>, <models.Dish object at 0x00000233DB05A780>, <models.Dish object at 0x00000233DB05BBC0>, <models.Dish object at 0x00000233DB05A4E0>, <models.Dish object at 0x00000233DB05AB40>, <models.Dish object at 0x00000233DB05AAB0>, <models.Dish object at 0x00000233DB05A510>, <models.Dish object at 0x00000233DB05AA50>, <models.Dish object at 0x00000233DB05AD50>, <models.Dish object at 0x00000233DB05A840>, <models.Dish object at 0x00000233DB05AF90>, <models.Dish object at 0x00000233DB05AB10>, <models.Dish object at 0x00000233DB05AF00>, <models.Dish object at 0x00000233DB05B1A0>, <models.Dish object at 0x00000233DB05A7E0>, <models.Dish object at 0x00000233DB12AA50>, <models.Dish object at 0x00000233DB129640>, <models.Dish object at 0x00000233DB1291C0>, <models.Dish object at 0x00000233DB129580>, <models.Dish object at 0x00000233DB12B8F0>, <models.Dish object at 0x00000233DB12AF30>, <models.Dish object at 0x00000233DB12B770>, <models.Dish object at 0x00000233DB129AF0>, <models.Dish object at 0x00000233DB12B800>, <models.Dish object at 0x00000233DB12AEA0>, <models.Dish object at 0x00000233DB129DC0>, <models.Dish object at 0x00000233DB12B6E0>, <models.Dish object at 0x00000233DB12B0E0>, <models.Dish object at 0x00000233DB12A960>, <models.Dish object at 0x00000233DB129A90>, <models.Dish object at 0x00000233DB12BD10>]
DEBUG | 2026-02-12 13:20:53,678 - Request for path admin, HTML file: admin.html
DEBUG | 2026-02-12 13:20:54,504 - Current user: <models.User object at 0x00000233DB128290>
DEBUG | 2026-02-12 13:20:55,295 - Request for path admin_module, HTML file: admin_module.html
DEBUG | 2026-02-12 13:20:55,656 - Global menu: [<models.Dish object at 0x00000233DB16A0C0>, <models.Dish object at 0x00000233DB16B7D0>, <models.Dish object at 0x00000233DB16B620>, <models.Dish object at 0x00000233DB16B650>, <models.Dish object at 0x00000233DB16BD10>, <models.Dish object at 0x00000233DB16AE40>, <models.Dish object at 0x00000233DB16B320>, <models.Dish object at 0x00000233DB16AD50>, <models.Dish object at 0x00000233DB16B3E0>, <models.Dish object at 0x00000233DB16B260>, <models.Dish object at 0x00000233DB16B170>, <models.Dish object at 0x00000233DB16B140>, <models.Dish object at 0x00000233DB16AD80>, <models.Dish object at 0x00000233DB16AFC0>, <models.Dish object at 0x00000233DB16B2C0>, <models.Dish object at 0x00000233DB16BF80>, <models.Dish object at 0x00000233DB16BC80>, <models.Dish object at 0x00000233DB16B0B0>, <models.Dish object at 0x00000233DB16BD70>, <models.Dish object at 0x00000233DB16AD20>, <models.Dish object at 0x00000233DB16B0E0>, <models.Dish object at 0x00000233DB16B530>, <models.Dish object at 0x00000233DB16B920>, <models.Dish object at 0x00000233DB16BE90>, <models.Dish object at 0x00000233DB16BB30>, <models.Dish object at 0x00000233DB16BE60>, <models.Dish object at 0x00000233DB16BE00>, <models.Dish object at 0x00000233DB16BE30>, <models.Dish object at 0x00000233DB16BEC0>, <models.Dish object at 0x00000233DB16B9B0>, <models.Dish object at 0x00000233DB16B470>, <models.Dish object at 0x00000233DB16B950>, <models.Dish object at 0x00000233DAE2A7E0>, <models.Dish object at 0x00000233DADABA40>, <models.Dish object at 0x00000233DB17FB00>, <models.Dish object at 0x00000233DB17F920>, <models.Dish object at 0x00000233DB17FA10>, <models.Dish object at 0x00000233DAFAE720>, <models.Dish object at 0x00000233DAFADF40>, <models.Dish object at 0x00000233DAFADA60>, <models.Dish object at 0x00000233DAE95A00>, <models.Dish object at 0x00000233DAE96660>, <models.Dish object at 0x00000233DAF788C0>, <models.Dish object at 0x00000233DAF79550>, <models.Dish object at 0x00000233DAF49280>, <models.Dish object at 0x00000233DAD8D1C0>, <models.Dish object at 0x00000233DB05BBC0>, <models.Dish object at 0x00000233DB05AF00>, <models.Dish object at 0x00000233DB05AB10>, <models.Dish object at 0x00000233DB05AD50>, <models.Dish object at 0x00000233DB05BFB0>, <models.Dish object at 0x00000233DB05BB30>, <models.Dish object at 0x00000233DB05A540>, <models.Dish object at 0x00000233DB05AA80>, <models.Dish object at 0x00000233DB05AFC0>, <models.Dish object at 0x00000233DB1294F0>, <models.Dish object at 0x00000233DB129130>, <models.Dish object at 0x00000233DB12BCB0>, <models.Dish object at 0x00000233DB12A750>, <models.Dish object at 0x00000233DB128B60>, <models.Dish object at 0x00000233DB12BC50>, <models.Dish object at 0x00000233DB128BF0>, <models.Dish object at 0x00000233DB12BBC0>, <models.Dish object at 0x00000233DB128BC0>, <models.Dish object at 0x00000233DB12BE30>, <models.Dish object at 0x00000233DB128CE0>, <models.Dish object at 0x00000233DB128CB0>, <models.Dish object at 0x00000233DB12B500>, <models.Dish object at 0x00000233DB128260>, <models.Dish object at 0x00000233DB1283B0>, <models.Dish object at 0x00000233DB128FB0>, <models.Dish object at 0x00000233DB1284A0>, <models.Dish object at 0x00000233DB128C80>, <models.Dish object at 0x00000233DB128410>, <models.Dish object at 0x00000233DB128500>, <models.Dish object at 0x00000233DB1284D0>, <models.Dish object at 0x00000233DB12BA70>, <models.Dish object at 0x00000233DB128380>, <models.Dish object at 0x00000233DB128320>, <models.Dish object at 0x00000233DB1282C0>, <models.Dish object at 0x00000233DB12BEF0>]
DEBUG | 2026-02-12 13:26:24,531 - Request for path admin, HTML file: admin.html
DEBUG | 2026-02-12 13:26:24,704 - Current user: <models.User object at 0x00000233DB154C80>
